id,detailed_type,categ_id,default_code,name,sale_ok,purchase_ok,uom_id,uom_po_id,route_ids
setup.product_template.0143,product,Components / Kit,CKA135,Kit Force Factor Test X 180 Ignite 60ct,0,1,Units,Units,Buy
setup.product_template.0144,product,Components / Kit,CKA138,Kit Force Factor Test X 180 Alpha 60ct.,0,1,Units,Units,Buy
setup.product_template.0145,product,Components / Kit,CKA143,Kit Force Factor Forebrain 30ct.,0,1,Units,Units,Buy
setup.product_template.0146,product,Components / Kit,CKA144,Kit Force Factor Test X 180 Unleashed 90ct,0,1,Units,Units,Buy
setup.product_template.0147,product,Components / Kit,CKA145,Kit Health Nutrition Prime Shred 90ct,0,1,Units,Units,Buy
setup.product_template.0148,product,Components / Kit,CKA146,Kit Force Factor Alpha King Immortal 180ct.,0,1,Units,Units,Buy
setup.product_template.0149,product,Components / Kit,CKA147,Kit Force Factor Test X 180 Alpha Max 180ct.,0,1,Units,Units,Buy
setup.product_template.0150,product,Components / Labels,CLA001,"White Blank Sticker 3""x 4""",0,1,Units,Units,Buy
setup.product_template.0151,product,Components / Labels,CLA018,Labels,0,1,Units,Units,Buy
setup.product_template.0152,product,Components / Labels,CLA029,Lid Sticker Genius Glow,0,1,Units,Units,Buy
setup.product_template.0153,product,Components / Labels,CLA176,Labels Antiaging NMN,0,1,Units,Units,Buy
setup.product_template.0154,product,Components / Labels,CLA221,Labels Biogenetix Hepato-CL,0,1,Units,Units,Buy
setup.product_template.0155,product,Components / Labels,CLA222,Labels Biogenetix Hepato-ST,0,1,Units,Units,Buy
setup.product_template.0156,product,Components / Labels,CLA223,Labels Biogenetix Metaboclear Chocolate 45 serv,0,1,Units,Units,Buy
setup.product_template.0157,product,Components / Labels,CLA226,Labels Biogenetix Super G Antioxidant,0,1,Units,Units,Buy
setup.product_template.0158,product,Components / Labels,CLA239,Labels BioSchwartz Garcinia 1500mg 90ct,0,1,Units,Units,Buy
setup.product_template.0159,product,Components / Labels,CLA240,Labels BioSchwartz Garcinia 1600mg 60ct,0,1,Units,Units,Buy
setup.product_template.0160,product,Components / Labels,CLA243,Labels BioSchwartz Magnesium Bisglycinate 180ct,0,1,Units,Units,Buy
setup.product_template.0161,product,Components / Labels,CLA250,Labels BioSchwartz Prebiotic 60ct,0,1,Units,Units,Buy
setup.product_template.0162,product,Components / Labels,CLA254,Labels BioSchwartz Turmeric Curcumin 1500mg 90ct,0,1,Units,Units,Buy
setup.product_template.0163,product,Components / Labels,CLA284,Labels Blackwolf Pre Caffeine Free Fruit Punch,0,1,Units,Units,Buy
setup.product_template.0164,product,Components / Labels,CLA285,Labels BlackWolf Preworkout Blue Raspberry,0,1,Units,Units,Buy
setup.product_template.0165,product,Components / Labels,CLA287,Labels BLDR Hydro Cherry Limeade,0,1,Units,Units,Buy
setup.product_template.0166,product,Components / Labels,CLA310,Labels Brutal Force ANDA Lean 90ct,0,1,Units,Units,Buy
setup.product_template.0167,product,Components / Labels,CLA311,Labels Brutal Force OSTA Bulk 90ct,0,1,Units,Units,Buy
setup.product_template.0168,product,Components / Labels,CLA312,Labels Brutal Force RAD Bulk 60ct,0,1,Units,Units,Buy
setup.product_template.0169,product,Components / Labels,CLA372,Labels Chuckies Munchies Early Bird Morning Cocktail Blood Orange v3,0,1,Units,Units,Buy
